"StationName","NaptanCode","HubNaptan","Latitude","Longitude","Lift","SameLevel","Interchange","FareZones","Wifi"
"Willesden Green Underground Station","940GZZLUWIG","",51.549146,-0.221537,0,FALSE,0,"2|3",TRUE
"Willesden Junction Rail Station","910GWLSDJHL","HUBWIJ",51.532497,-0.244548,2,FALSE,1,"2|3",TRUE
"Willesden Junction Underground Station","940GZZLUWJN","HUBWIJ",51.532259,-0.244283,2,FALSE,1,"2|3",TRUE
"Wimbledon Park Underground Station","940GZZLUWIP","",51.434573,-0.199719,1,FALSE,0,"3",TRUE
"Wimbledon Underground Station","940GZZLUWIM","HUBWIM",51.421207,-0.206573,2,FALSE,0,"3|Trams fare zone",TRUE
"Wood Green Underground Station","940GZZLUWOG","",51.597479,-0.109886,0,FALSE,0,"3",TRUE
"Wood Lane Underground Station","940GZZLUWLA","",51.509669,-0.22453,4,FALSE,2,"2",TRUE
"Wood Street Rail Station","910GWDST","",51.58658,-0.002405,0,FALSE,0,"4",TRUE
"Woodford Underground Station","940GZZLUWOF","",51.606899,0.03397,0,FALSE,2,"4",TRUE
"Woodgrange Park Rail Station","910GWDGRNPK","",51.549264,0.044423,0,FALSE,0,"3|4",TRUE
"Woodside Park Underground Station","940GZZLUWOP","",51.618014,-0.18542,0,FALSE,2,"4",TRUE
"Woolwich","910GWOLWXR","",51.49119,0.07072,1,FALSE,0,"4",TRUE
